tramo	po_1_1	po_1_2	po_2_1	po_2_2	po_3_1	po_3_2	po_4_1	po_4_2	po_5_1	po_5_2	po_6_1	po_6_2	po_7_1	po_7_2	po_8_1	po_8_2	po_9_1	po_9_2	po_10_1	po_10_2	po_11_1	po_11_2	po_12_1	po_12_2	po_13_1	po_13_2	po_14_1	po_14_2	po_15_1	po_15_2	po_16_1	po_16_2
1	0.166613974	0.104880318	0.13897961	0.090010606	0.110909438	0.055995883	0.113029211	0.068105444	0.136542991	0.083247817	0.133494233	0.084415372	0.139026491	0.079451136	0.106826249	0.060035746	0.131559272	0.072808023	0.150905165	0.088063496	0.23787993	0.112453532	0.275302449	0.120574351	0.139197906	0.098457791	0.12085422	0.076717667	0.190628548	0.078944107	0.096819457	0.057407074
2	0.607027377	0.438533648	0.570072061	0.406389332	0.55190958	0.333333333	0.526631296	0.337534722	0.498416745	0.355645059	0.628925485	0.416666667	0.560780472	0.35337774	0.434666408	0.288967538	0.525510635	0.331097397	0.614339493	0.402742841	0.711627907	0.494673295	0.678357713	0.517911585	0.538060387	0.418819782	0.502247488	0.330338405	0.535464638	0.345080092	0.504083941	0.31864748
3	0.795801527	0.615665091	0.795094499	0.592522321	0.777723097	0.533803895	0.749253123	0.540294254	0.760845124	0.6012599	0.813400412	0.591439352	0.790407612	0.576606784	0.722717777	0.556631492	0.758701693	0.557666397	0.804671243	0.606181486	0.862881508	0.676944639	0.853324003	0.693291215	0.794840872	0.670677331	0.753463927	0.55736828	0.742691871	0.568990681	0.749271137	0.544079467
4	0.850391518	0.652039007	0.864015233	0.631299846	0.851014331	0.566532258	0.836179212	0.587028825	0.858033442	0.653052512	0.871944047	0.613846874	0.867540418	0.604054129	0.838951013	0.619780139	0.839807108	0.594772026	0.869178153	0.648990401	0.907171037	0.728524919	0.911680912	0.73566829	0.872385506	0.720636484	0.847775364	0.614086013	0.831148896	0.632447187	0.839841074	0.590448714
5	0.872138427	0.656614942	0.886318446	0.623547741	0.875025015	0.562996239	0.859609092	0.576041869	0.880226008	0.651905839	0.891062794	0.601864564	0.886299414	0.595518537	0.85895927	0.603015359	0.851915243	0.581184757	0.882129543	0.639188591	0.928672986	0.722667356	0.934852424	0.719538693	0.889818783	0.716441274	0.872371596	0.61562753	0.84480042	0.659800409	0.848088744	0.558836437
6	0.87602529	0.654394514	0.889786451	0.609007165	0.87040354	0.551294657	0.867734802	0.577882335	0.885160757	0.646368771	0.889399461	0.58781155	0.882700374	0.56814379	0.86526632	0.58546488	0.846469013	0.558273165	0.879430496	0.61270384	0.916808562	0.713650264	0.934986489	0.717805347	0.895725389	0.701908922	0.868958727	0.577288056	0.852097429	0.655395777	0.848896987	0.51773379
7	0.869459328	0.64928292	0.881045152	0.593045615	0.868165506	0.542795233	0.85790296	0.55246361	0.878357821	0.62355137	0.881810833	0.55660907	0.873018199	0.533306189	0.850637704	0.553389226	0.835214083	0.52556555	0.866015638	0.583022357	0.915366305	0.683453237	0.927567962	0.706198426	0.891870504	0.684402472	0.856626032	0.546635909	0.84816831	0.65796309	0.83087926	0.483065269
8	0.859013398	0.597625053	0.872718154	0.540787384	0.851782559	0.499258946	0.848193078	0.510444666	0.860421143	0.578312324	0.870009314	0.508885687	0.857322886	0.496464449	0.826223374	0.50829411	0.814876191	0.481332446	0.845338258	0.535512148	0.893238434	0.6438399	0.908157753	0.649263008	0.880969255	0.643492803	0.837766348	0.496154962	0.839378238	0.61351052	0.805828044	0.435104795
9	0.824510515	0.527527888	0.843062201	0.479079632	0.834984296	0.442217689	0.819225456	0.456917133	0.835974866	0.515432758	0.841224244	0.452718919	0.825833123	0.439818977	0.785956513	0.446887322	0.780073612	0.421459676	0.814365711	0.477247319	0.85972267	0.61612558	0.873906706	0.57283237	0.863922506	0.582712383	0.807285849	0.442975207	0.825579338	0.557272582	0.763460016	0.373945642
10	0.751177058	0.402881929	0.760436433	0.359891688	0.77962298	0.319502075	0.74618506	0.322145202	0.763010772	0.361213668	0.759212365	0.303872437	0.761845621	0.297250798	0.695697224	0.306183399	0.706176962	0.291348237	0.739487675	0.336820618	0.818293181	0.449955713	0.790489009	0.417886551	0.814236597	0.440771998	0.735300272	0.307038355	0.751741486	0.414116297	0.660389454	0.243548508
