gedad	p_1_1	p_1_2	p_2_1	p_2_2	p_3_1	p_3_2	p_4_1	p_4_2	p_5_1	p_5_2	p_6_1	p_6_2	p_7_1	p_7_2	p_8_1	p_8_2	p_9_1	p_9_2	p_10_1	p_10_2	p_11_1	p_11_2	p_12_1	p_12_2	p_13_1	p_13_2	p_14_1	p_14_2	p_15_1	p_15_2	p_16_1	p_16_2
0	39484	37719	65116	62746	33559	32063	83860	80471	176459	169672	97100	92670	108844	104441	161060	154417	101925	97947	87709	84468	11855	11348	15707	15220	703197	674529	39189	37879	25060	24150	47911	45975
1	12652	11823	22658	20742	10468	9715	28037	26782	66653	63341	31904	30575	37144	35783	58319	55950	36113	34900	30105	29104	3981	3228	6778	5084	249896	243028	14563	13856	9689	8069	17104	16653
2	13917	13121	26644	24447	10971	10386	29026	28800	74530	71009	30665	29568	36747	38132	61737	62443	35495	37270	29220	29021	3225	2816	6016	5248	303741	291980	15128	15248	9728	8740	15916	16887
3	15720	14810	30741	26880	12192	11759	29456	30178	72936	71593	34984	34717	38885	40858	60314	63304	34907	37110	32197	32840	4456	4281	7145	6648	327536	315326	14651	14956	9681	8907	16464	17718
4	14431	13536	27834	23949	10746	10416	25534	27060	62078	63243	31455	32065	33648	35914	50258	54216	30276	33359	29093	30210	4309	3993	7020	6367	283181	276142	12429	13091	8469	8426	14598	16291
5	13061	12502	26152	22465	9994	9572	23228	25795	57166	59685	31229	31321	32911	35658	47582	53128	29213	31804	28701	29381	4220	3869	6539	5983	252239	254889	11604	12350	7616	7816	14153	15951
6	11704	11082	25006	21494	9491	9153	23967	26142	55643	59842	31555	32900	35047	37054	48607	54186	30997	33240	29991	30416	4111	3597	6291	5723	239320	249303	12187	12751	7390	7719	15367	17227
7	10265	9971	21815	18722	9474	9230	23681	25694	53904	58935	30925	32062	34123	36840	50180	56060	31016	33463	29287	29745	3781	3336	5481	5211	222400	240474	12715	13005	6797	7315	16639	18217
8	9852	9516	19940	17628	9621	9446	23576	26042	58175	64811	32210	33312	36502	38325	51313	56727	31379	33052	29238	28976	3653	3198	5553	5631	221531	249347	13610	13784	6369	7224	17330	18083
9	8274	8337	16720	15559	8278	8333	20993	23037	53315	60877	28197	29166	31688	33366	45117	50214	27441	28705	23751	24151	3101	2803	5488	5190	194595	224253	11639	12100	5653	6277	15156	16005
10	7009	6801	12648	12187	6684	6507	17497	19187	44002	50920	22904	24145	26571	27899	36674	41854	22762	24469	18621	19595	2449	2258	4458	4372	150078	178446	9558	10116	5168	5228	12479	13369
11	4570	4778	8056	8587	4614	4917	13367	15115	35304	41186	17946	18820	20954	21967	28079	32230	17748	19679	14207	15609	1641	1617	3227	3239	112259	138605	7447	8162	3863	4396	9977	10836
12	3187	3340	5307	6465	3375	3670	10585	12130	28487	35066	13556	14758	16078	17440	21310	25995	14165	16433	11024	12671	1191	1120	2414	2639	85486	112112	5694	6636	3106	3574	7944	8951
13	1762	2260	3165	4528	2382	2804	7366	9161	19189	26130	9126	10504	10904	12667	14388	19362	10116	12575	7794	9808	842	908	1558	1993	55413	80983	3927	5106	1961	2399	5633	6875
14	1026	1541	1837	3012	1494	1932	4773	6553	12360	18930	5544	7082	6398	8410	8835	12778	6400	8996	4628	6539	496	576	886	1405	33394	57142	2472	3446	1137	1660	3316	4448
15	879	1628	1375	3109	1077	1845	3828	6665	10014	20447	4410	7180	5180	8572	6957	13211	5178	9091	3834	6774	336	563	688	1331	28001	63982	2034	3504	894	1587	2600	4536
